7zip 25.01-1
a52dec 0.8.0-2
aalib 1.4rc5-19
abseil-cpp 20250814.1-1
accountsservice 23.13.9-2
acl 2.3.2-1
act 0.2.82-1
ada 3.2.7-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
aircrack-ng 1.7-5
airspy 1.0.10-5
airspyhf-git r147.87cf12a-1
alsa-card-profiles 1:1.4.9-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.14-1
alsa-oss 1.1.8-6
alsa-tools 1.2.14-2
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1
amberol 2025.1-2
android-sdk 26.1.1-2
android-tools 35.0.2-21
android-udev 20250525-1
anki-bin 25.09.2-1
another-redis-desktop-manager-bin 1.7.1-2
aom 3.13.1-1
appstream 1.1.1-1
appstream-glib 0.8.3-2
archlinux-keyring 20251012-1
arduino 1:1.8.19-4
arduino-builder 1.6.1-3
arduino-cli 1.3.1-2
arduino-ctags 5.8_arduino11-4
arduino-ide-bin 2.3.6-1
argon2 20190702-6
arm-none-eabi-binutils 2.43-1
arm-none-eabi-gcc 14.2.0-1
arm-none-eabi-newlib 4.5.0.20241231-1
at-spi2-core 2.58.1-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0.5-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1
awesome-terminal-fonts 1.1.0-5
ayatana-ido 0.10.4-1
babl 0.1.116-1
baobab 49.0-1
base 3-2
base-devel 1-2
bash 5.3.3-2
bat 0.25.0-4
bcg729 1.1.1-2
bind 9.20.13-1
binutils 2.45+r29+g2b2e51a31ec7-1
binwalk 3.1.0-1
bison 3.8.2-8
bitwarden-cli 2025.8.0-1
bladerf 2024.05-1
blas 3.12.1-2
blueprint-compiler 0.18.0-1
bluez 5.84-1
bluez-libs 5.84-1
bluez-obex 5.84-1
bolt 0.9.10-1
boost-libs 1.88.0-3
botan 3.9.0-1
brightnessctl 0.5.1-3
brltty 6.8-1
brotli 1.1.0-3
btop 1.4.5-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.117-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-2
cblas 3.12.1-2
cdparanoia 10.2-9
chirp-next 1:20251010-1
chromaprint 1.6.0-2
chromium 141.0.7390.76-1
cifs-utils 7.4-1
clang 20.1.8-2
clipmenu 6.2.0-3
clipnotify 1.0.2-3
clucene 2.3.3.4-16
cmake 4.1.2-1
codec2 1:1.2.0-1
colord 1.4.8-1
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
compiler-rt 20.1.8-1
composefs 1.0.8-1
confuse 3.3-4
containerd 2.1.4-1
contrast 0.0.11-2
coreutils 9.8-2
cppcheck 2.18.3-1
cppdap 1.58.0-2
cracklib 2.10.3-1
cryptsetup 2.8.1-1
ctop 0.7.7-3
cups-pk-helper 0.2.7-2
curl 8.16.0-1
cython 3.1.4-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbeaver 25.2.2-2
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-glib 0.114-1
dconf 0.49.0-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.35-1
diffutils 3.12-2
dirb 2.22-2
direnv 2.37.1-1
discord 1:0.0.112-1
djvulibre 3.5.29-1
dkms 3.2.2-1
dmenu 5.4-1
dnsmasq 2.91-1
dnssec-anchors 20250524-1
docker 1:28.5.1-1
docker-buildx 0.29.1-1
docker-compose 2.40.0-1
dosfstools 4.2-5
dotconf 1.4.1-1
double-conversion 3.3.1-1
dpkg 1.22.21-1
duktape 2.7.0-7
duplicati-bin 2.1.0.5-2
dvisvgm 3.5-2
e2fsprogs 1.47.3-1
editorconfig-core-c 0.12.10-1
